date,type,category,amount,description,notes,relatedTagNumber,id,createdAt,updatedAt
2025-10-01,expense,Feed,4000,Mineral Block,,,08ce8292-b430-43fd-8e8f-a1ab621b31d4,,
2025-10-02,expense,Equipment,175000,30 Evo chopper,,,f89c3e65-d402-41e1-8ba3-3edb5467d8f0,,
2025-10-03,expense,Equipment,46000,new forage bunker + repair,,,7eb5669c-c54e-494d-adc9-c7e4d1df1118,,
2025-10-04,expense,Labor,12000,October Salary,,,26182a83-55d6-4166-81e3-baf7b271fc63,,
2025-10-05,expense,Feed,15000,Napier harvest,,,181617be-2e52-4d59-aa8b-06768338ebe3,,
2025-10-06,expense,Veterinary,15000,Maize chopping,,,223b4dae-277a-43c1-a74f-3707a0a25ef3,,
2025-11-25,expense,Labor,12000,November Salary,,,67925474-a19d-40fd-8aad-4b16f2db8c91,,
2025-11-25,expense,Veterinary,12000,Maize harvest+chopping,,,524e3f29-9faa-4e07-9b2c-688756d7b50c,,
2025-11-26,expense,Feed,2200,mineral Block,,,d6a93644-b231-49ef-ac4e-79f532051198,,
2025-12-01,expense,Labor,12000,December Salary,,,d77dc07d-b7f1-477d-ad3e-783c7eb549d3,,
2026-01-01,expense,Labor,12000,January Salary,,,d5fcbfe2-ad4b-4b1f-8d28-69118d056fcf,,
2026-01-15,expense,Veterinary,3500,Preg check/deworm/vitamins,,,24c8901c-f9aa-4d86-b04f-2027100fbc3c,,
2026-01-24,expense,Feed,11900,Napier harvest(jan 19-24),,,c5ded965-728d-429b-ae93-b302c9d82567,,
2026-01-26,expense,Feed,15000,Harvest Maize - Farbeco,,,4717ee0a-f90f-4650-8f7f-57657893a7bd,,2026-05-22T19:14:20.076Z
2026-02-01,expense,Labor,12000,February Salary,,,7502b9e3-045d-4fd7-9c23-dac0baee162b,,
2026-02-02,expense,Equipment,2850,"Mineral Block, Electric fence rod, etc.",,,fe0e327c-4e17-4c59-a80b-7922a8db8130,,
2026-02-03,expense,Labor,4500,San Roque Napier planting + daro,,,67de3474-0440-4f4d-8326-dae1fa9a21bb,,2026-05-22T19:14:06.845Z
2026-02-04,expense,Labor,5000,Lantud Land clearing,,,6fb118db-34da-4b58-86f4-0b76b717a48a,,2026-05-22T19:14:00.768Z
2026-02-08,expense,Feed,15000,Harvest Maize - Laguyan,,,a4f1c625-8236-4fb0-9489-86dbfb30ceb1,,2026-05-22T19:13:54.821Z
2026-03-01,expense,Labor,12000,March Salary,,,8049e171-2903-4de1-ba96-9b825cebf00c,,
2026-03-12,expense,Feed,10000,Napier Harvest,,,c12aa342-791f-4ded-9919-a35ac60e8958,,
2026-03-13,expense,Veterinary,3500,Preg check/deworm/vitamins,,,0827a940-8c12-43a8-aac9-978f11e5f9de,,
2026-03-14,expense,Breeding,130000,1 Bernales Heifer,,,3223d75b-09dc-49e0-9e05-27b11d360110,,
2026-03-15,expense,Labor,50000,"Lantud Land clearing,tanom, etc.",,,26fff2d3-7677-40e1-ac39-78ecb10f5190,,2026-05-22T19:13:37.621Z
2026-04-01,expense,Labor,12000,April Salary,,,9661f89c-f3af-46bf-b3bc-9009877947af,,
2026-03-17,expense,Equipment,75000,Elf Cattle Cage,,,fa616ca2-fb52-439c-bf67-7a9102c83fb3,,
2026-03-18,expense,Labor,50000,"Dagumbaan lampas, koral, etc.",,,15a4cccf-e62c-468e-8e8d-bb9dd4e2bcde,,2026-05-22T19:13:28.968Z
2026-05-18,expense,Labor,12000,May Salary,,,417a2341-aff5-4666-b140-bba14b3998d3,,
2026-05-07,expense,Veterinary,2000,"Vaccination, Vitamin Supplement, Deworming, Checkup – All Cattle",,,a93455ee-86de-4e24-9586-36a64c7bd914,2026-05-22T19:01:28.548Z,2026-05-22T19:01:28.548Z
2026-05-23,expense,Feed,9000,San roque harvest,,,f29b3a0b-2160-4513-b4f2-d5ed8f8b049a,2026-05-22T23:23:05.165Z,2026-05-22T23:23:05.165Z
2026-05-22,expense,Feed,16000,"Molasses, 4 sacks Copra meal",,,5e64eae4-548b-45fc-800b-78b137ae3e68,2026-05-27T06:15:11.150Z,2026-05-27T06:15:11.150Z
2026-05-27,expense,Equipment,2500,"Mineral block, fence fixed, halter",,,2eac644a-92a3-45ea-b2fe-0758b4e6f37f,2026-05-27T06:16:09.891Z,2026-05-27T06:16:09.891Z
2026-04-01,expense,Equipment,80000,4 silage bunker,,,945a0fb9-8735-4ee0-add1-5f5cc5b7a5a6,2026-05-30T19:43:04.131Z,2026-05-30T19:43:04.131Z
2026-06-02,expense,Veterinary,1000,Treatment – 4,antibiotic due to deep cut in middle of udders due to rapid expanding udders as close to calving,4,53e62796-29ef-4f15-96e5-e1481b84be8b,2026-06-02T16:56:17.669Z,2026-06-02T16:56:17.669Z
2026-06-02,expense,Feed,30500,Spent grain,,,13fdf160-4940-40b2-a0de-50c83d1b283f,2026-06-02T16:56:54.629Z,2026-06-05T11:27:08.043Z
2026-06-05,expense,Labor,12000,June Salary,,,8fb19120-6747-4bd0-9245-775c9f28eb67,2026-06-05T11:26:17.655Z,2026-06-05T11:26:17.655Z
2026-06-05,expense,Labor,21000,Lantud basok,,,bbd6d581-6166-49e5-aedb-a3fe5f28aca7,2026-06-05T11:26:59.787Z,2026-06-05T11:26:59.787Z
